FIPStxt,State,Geography,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2016,Med_HH_Income_Percent_of_State_Total_2016
1001,AL,"Autauga County, Alabama",25909,24908,1001,3.9,54487.00,117.7
1003,AL,"Baldwin County, Alabama",91567,87915,3652,4,56460.00,121.9
1005,AL,"Barbour County, Alabama",8236,7750,486,5.9,32884.00,71
1007,AL,"Bibb County, Alabama",8506,8133,373,4.4,43079.00,93
1009,AL,"Blount County, Alabama",24494,23509,985,4,47213.00,102
1011,AL,"Bullock County, Alabama",4812,4575,237,4.9,34278.00,74
1013,AL,"Butler County, Alabama",8946,8455,491,5.5,35409.00,76.5
1015,AL,"Calhoun County, Alabama",45582,43333,2249,4.9,41778.00,90.2
1017,AL,"Chambers County, Alabama",15176,14557,619,4.1,39530.00,85.4
1019,AL,"Cherokee County, Alabama",11174,10721,453,4.1,41456.00,89.5
1021,AL,"Chilton County, Alabama",19118,18344,774,4,44188.00,95.4
1023,AL,"Choctaw County, Alabama",4336,4059,277,6.4,32691.00,70.6
1025,AL,"Clarke County, Alabama",7720,7065,655,8.5,34061.00,73.6
1027,AL,"Clay County, Alabama",5721,5471,250,4.4,38512.00,83.2
1029,AL,"Cleburne County, Alabama",5742,5486,256,4.5,43483.00,93.9
1031,AL,"Coffee County, Alabama",20671,19764,907,4.4,48632.00,105
1033,AL,"Colbert County, Alabama",23092,21889,1203,5.2,46572.00,100.6
1035,AL,"Conecuh County, Alabama",4446,4173,273,6.1,29758.00,64.3
1037,AL,"Coosa County, Alabama",4348,4147,201,4.6,36441.00,78.7
1039,AL,"Covington County, Alabama",15646,14826,820,5.2,35010.00,75.6
1041,AL,"Crenshaw County, Alabama",6417,6130,287,4.5,37374.00,80.7
1043,AL,"Cullman County, Alabama",37637,36239,1398,3.7,41543.00,89.7
1045,AL,"Dale County, Alabama",19868,18987,881,4.4,40523.00,87.5
1047,AL,"Dallas County, Alabama",14935,13811,1124,7.5,30488.00,65.8
1049,AL,"DeKalb County, Alabama",29038,27734,1304,4.5,37128.00,80.2
1051,AL,"Elmore County, Alabama",37236,35880,1356,3.6,54553.00,117.8
1053,AL,"Escambia County, Alabama",14352,13630,722,5,35096.00,75.8
1055,AL,"Etowah County, Alabama",42894,40932,1962,4.6,40972.00,88.5
1057,AL,"Fayette County, Alabama",6529,6220,309,4.7,38403.00,82.9
1059,AL,"Franklin County, Alabama",13960,13369,591,4.2,37049.00,80
