,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
0,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Aleutians East Borough, Alaska",2013
1,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Aleutians West Census Area, Alaska",2016
2,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Anchorage Borough/municipality, Alaska",2020
3,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Bethel Census Area, Alaska",2050
4,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Bristol Bay Borough, Alaska",2060
5,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Denali Borough, Alaska",2068
6,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Dillingham Census Area, Alaska",2070
7,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Fairbanks North Star Borough, Alaska",2090
8,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Haines Borough, Alaska",2100
9,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Hoonah-Angoon Census Area, Alaska",2105
10,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Juneau Borough/city, Alaska",2110
11,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Kenai Peninsula Borough, Alaska",2122
12,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Ketchikan Gateway Borough, Alaska",2130
13,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Kodiak Island Borough, Alaska",2150
14,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Lake and Peninsula Borough, Alaska",2164
15,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Matanuska-Susitna Borough, Alaska",2170
16,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Nome Census Area, Alaska",2180
17,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"North Slope Borough, Alaska",2185
18,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Northwest Arctic Borough, Alaska",2188
19,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Petersburg Borough, Alaska",2195
20,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Prince of Wales-Hyder Census Area, Alaska",2198
21,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Sitka Borough/city, Alaska",2220
22,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Skagway Municipality, Alaska",2230
23,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Southeast Fairbanks Census Area, Alaska",2240
24,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Valdez-Cordova Census Area, Alaska",2261
26,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Wrangell Borough/city, Alaska",2275
27,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Yakutat Borough/city, Alaska",2282
28,93003,130413,246588,0.377159472,0.528870018,37410,0.1517,AK,"Yukon-Koyukuk Census Area, Alaska",2290
29,5908,18110,24661,0.23956855,0.734357893,12202,0.4948,AL,"Autauga County, Alabama",1001
30,18409,72780,94090,0.195653098,0.77351472,54371,0.5779,AL,"Baldwin County, Alabama",1003
31,4848,5431,10390,0.466602502,0.522714148,583,0.0561,AL,"Barbour County, Alabama",1005
32,1874,6733,8748,0.214220393,0.769661637,4859,0.5554,AL,"Bibb County, Alabama",1007
33,2150,22808,25384,0.084699023,0.898518752,20658,0.8138,AL,"Blount County, Alabama",1009
34,3530,1139,4701,0.750904063,0.242288875,2391,0.5086,AL,"Bullock County, Alabama",1011
35,3716,4891,8685,0.427864134,0.563154865,1175,0.1353,AL,"Butler County, Alabama",1013
36,13197,32803,47376,0.278558764,0.692396994,19606,0.4138,AL,"Calhoun County, Alabama",1015
37,5763,7803,13778,0.418275512,0.56633764,2040,0.1481,AL,"Chambers County, Alabama",1017
38,1524,8809,10503,0.1451014,0.838712749,7285,0.6936,AL,"Cherokee County, Alabama",1019
39,2909,15068,18255,0.159353602,0.825417694,12159,0.6661,AL,"Chilton County, Alabama",1021
40,3109,4102,7268,0.427765548,0.564391855,993,0.1366,AL,"Choctaw County, Alabama",1023
41,5712,7109,12936,0.441558442,0.549551639,1397,0.108,AL,"Clarke County, Alabama",1025
42,1234,5230,6572,0.187766281,0.795800365,3996,0.608,AL,"Clay County, Alabama",1027
43,684,5738,6532,0.104715248,0.878444581,5054,0.7737,AL,"Cleburne County, Alabama",1029
44,4194,15825,20513,0.204455711,0.771462,11631,0.567,AL,"Coffee County, Alabama",1031
45,7296,16718,24626,0.296272233,0.678875985,9422,0.3826,AL,"Colbert County, Alabama",1033
46,3069,3413,6543,0.469050894,0.521626165,344,0.0526,AL,"Conecuh County, Alabama",1035
47,1780,3376,5223,0.340800306,0.646371817,1596,0.3056,AL,"Coosa County, Alabama",1037
48,2379,13222,15818,0.15039828,0.835883171,10843,0.6855,AL,"Covington County, Alabama",1039
49,1663,4511,6252,0.265994882,0.721529111,2848,0.4555,AL,"Crenshaw County, Alabama",1041
50,3730,32734,37278,0.100059016,0.878105049,29004,0.778,AL,"Cullman County, Alabama",1043
51,4408,13798,18617,0.236772842,0.741150561,9390,0.5044,AL,"Dale County, Alabama",1045
52,12826,5784,18730,0.684783769,0.308809397,7042,0.376,AL,"Dallas County, Alabama",1047
53,3682,21779,26086,0.141148509,0.834892279,18097,0.6937,AL,"DeKalb County, Alabama",1049
54,8436,27619,36905,0.228586912,0.748380978,19183,0.5198,AL,"Elmore County, Alabama",1051
55,4698,10282,15213,0.308814829,0.675869322,5584,0.3671,AL,"Escambia County, Alabama",1053
56,10350,32132,43474,0.238073331,0.739108433,21782,0.501,AL,"Etowah County, Alabama",1055
