RegionName,County_State,CountyName,StateFullName,Lat,Long,2010,2011,2012,2013,2014,2015,2016,2017
Los Angeles,"Los Angeles, CA",Los Angeles,California,33.973951,-118.248405,29300.25,30988.83333,20255.5,12830.41667,14852.58333,14226.66667,13148.75,10921.33333
Cook,"Cook, IL",Cook,Illinois,42.085626,-87.99822,33041.5,33883.41667,26811.33333,18170.41667,18323.25,20398.5,18891.25,17554.66667
Maricopa,"Maricopa, AZ",Maricopa,Arizona,33.703967,-112.351835,35056.91667,34729.83333,18573.83333,16829.25,21067.16667,18825.16667,19076.66667,17960.33333
San Diego,"San Diego, CA",San Diego,California,32.74081,-116.976341,14021.83333,17094.08333,11248.75,7565.083333,8402.5,6526.333333,6582,5001.5
Orange,"Orange, CA",Orange,California,33.640302,-117.769442,14325.5,15665.5,10303.75,6330.416667,7339.916667,6600.916667,6193.5,5043.666667
Kings,"Kings, NY",Kings,New York,40.694481,-73.989319,4989.833333,6102.25,4893,4427.416667,3972,3418.75,3557.583333,2805.916667
Miami-Dade,"Miami-Dade, FL",Miami-Dade,Florida,25.558428,-80.458168,28998.5,25225.16667,17038.58333,15856.83333,18739.5,15474.58333,17611.25,19011.33333
Dallas,"Dallas, TX",Dallas,Texas,32.767268,-96.777626,14210.33333,12895.75,8795.166667,6629.416667,5862.333333,4740.583333,4006.25,4468.916667
Riverside,"Riverside, CA",Riverside,California,33.752886,-116.055617,15840,17234.41667,10888.66667,7904.25,10059.16667,10463.08333,10087.08333,8009.5
San Bernardino,"San Bernardino, CA",San Bernardino,California,34.839964,-115.967051,9806.083333,10702.41667,7367.75,5394.5,7010.5,7294.333333,6678.416667,5714.666667
King,"King, WA",King,Washington,47.465495,-121.821908,12239.25,11315.83333,6461.333333,4888.833333,5215.333333,4032.833333,3633.75,2720.583333
Santa Clara,"Santa Clara, CA",Santa Clara,California,37.238842,-121.885066,4417.833333,4593.333333,2567.75,1883.083333,1789.25,1660.916667,1668.666667,1023.75
